排名,代號,名稱,成交,漲跌 價,漲跌 幅,法人 買賣 日期,當日 買賣超 佔 發行 張數,2日 買賣超 佔 發行 張數,3日 買賣超 佔 發行 張數,5日 買賣超 佔 發行 張數,10日 買賣超 佔 發行 張數,1個月 買賣超 佔 發行 張數,3個月 買賣超 佔 發行 張數,半年 買賣超 佔 發行 張數,1年 買賣超 佔 發行 張數,3年 買賣超 佔 發行 張數,10年 買賣超 佔 發行 張數,今年 買賣超 佔 發行 張數
206,00753L,中信中國50正2,8.86,0.12,1.37,09/18,0.52,0.42,0.2,0.49,0.16,1.42,3.16,1.17,0.5,29.9,,0.34
207,5228,鈺鎧,40.35,1.3,3.33,09/18,0.24,0.39,0.42,0.49,0.41,0.25,0.49,1.97,3.12,3.07,,2.93
208,3011,今皓,9.98,0.01,0.1,09/18,0.01,0.02,0.12,0.48,0.64,0.51,-2.68,0.1,-1.37,-2.63,-0.49,-1.05
209,4924,欣厚-KY,15.5,1.25,8.77,09/18,0.16,0.1,0.61,0.48,0.36,0.6,0.43,0.4,0.42,1.98,18.4,0.42
210,2393,億光,64.4,1.2,1.9,09/18,0.23,0.28,0.53,0.48,0.22,1.52,-0.82,-2.09,9.01,-3.59,0.18,0.55
211,6885,全福生技,31.6,2.1,7.12,09/18,0.1,0.54,0.68,0.47,0.79,0.22,0.19,-0.02,-0.07,,,-0.19
212,6869,雲豹能源,68.1,0.1,0.15,09/18,0.02,0.33,0.43,0.47,0.34,0.4,0.7,1.85,1.37,1.73,,1.32
213,3707,漢磊,62.9,1.0,1.62,09/18,0.14,0.07,0.48,0.47,-0.31,-0.03,-5.25,-2.1,1.82,-0.61,-1.99,-0.18
214,3609,三一東林,21.9,-0.3,-1.35,09/18,-0.1,-0.09,0.16,0.46,0.22,0.64,-0.45,-1.76,-1.13,0.59,1.33,-1.91
215,6525,捷敏-KY,135.5,6.5,5.04,09/18,0.34,0.36,0.32,0.46,0.44,0.11,2.56,0.22,2.02,3.19,5.74,1.23
216,2615,萬海,120.5,0.0,0.0,09/18,0.1,0.28,0.39,0.46,0.21,2.14,5.95,7.88,11.4,8.95,9.88,8.76
217,6957,裕慶-KY,270.5,-3.5,-1.28,09/18,-0.21,0.21,0.45,0.46,0.59,0.34,0.88,0.67,0.55,,,0.39
218,6197,佳必琪,320.5,16.0,5.25,09/18,0.34,0.5,0.58,0.46,0.19,-2.06,-4.35,-6.66,-3.74,-9.56,-3.73,-2.9
219,00947,台新臺灣IC設計,38.88,1.78,4.8,09/18,0.98,1.13,1.19,0.46,1.05,1.89,1.52,5.34,12.8,,,8.69
