股票代號,股票名稱,法人持股,上榜區塊,累積衰退
3481,群創,22.475857651078826,"20日衰退,10日衰退,30日衰退",-0.5538789770402168
3532,台勝科,46.929161373145114,"20日衰退,5日衰退,10日衰退",-0.7239044543962194
3533,嘉澤,46.66292307116212,"20日衰退,5日衰退,10日衰退,30日衰退",-3.5579252390713947
3550,聯穎,6.695241283124129,"20日衰退,5日衰退,10日衰退,30日衰退",-0.5483700604370059
3551,世禾,-0.4814621109728174,20日衰退,-1.076490058834307
3588,通嘉,5.488892986651338,30日衰退,-1.7229680683272557
3591,艾笛森,5.496113954884567,"20日衰退,5日衰退,10日衰退,30日衰退",-0.7762323734470176
3596,智易,33.48790481086141,"20日衰退,5日衰退,10日衰退,30日衰退",-3.10238233036511
3624,光頡,0.9326249763914256,"30日衰退,20日衰退",-1.5525855865257894
3661,世芯-KY,49.43116285694883,30日衰退,-1.8024479015063264
3665,貿聯-KY,52.235680971966126,"5日衰退,10日衰退",-1.7963160379028054
3675,德微,0.6283039010026834,"30日衰退,20日衰退",-0.7268791882411227
3680,家登,-0.8715234201771629,30日衰退,-1.425635033678833
3701,大眾控,4.713860193047245,10日衰退,-0.8476064667588608
3702,大聯大,25.88310591195444,"5日衰退,10日衰退",-0.5186204301660275
3704,合勤控,13.568426134513075,"20日衰退,5日衰退,10日衰退",-1.0949029357606612
3715,定穎投控,6.761918599305782,"30日衰退,5日衰退,10日衰退",-0.7967017788872068
3717,聯嘉投控,3.7755840146027735,"30日衰退,20日衰退",-1.502848847132542
4526,東台,7.103896751758445,30日衰退,-4.0720630516075005
4551,智伸科,53.325314016365105,"20日衰退,5日衰退,10日衰退",-1.7626958535476263
4571,鈞興-KY,63.57727569672548,5日衰退,-0.4514731459831438
4720,德淵,5.7442583619096075,30日衰退,-1.4683862037593913
4722,國精化,10.553862939263636,"5日衰退,10日衰退",-0.37636336320717234
4741,泓瀚,0.1092149652998317,20日衰退,-0.9570614843198534
4746,台耀,10.808284193108994,"5日衰退,20日衰退",-0.4971874899043467
4764,雙鍵,34.41827978521256,10日衰退,-1.313833031754605
4916,事欣科,4.58624506229041,"30日衰退,5日衰退,20日衰退",-1.4933454457342439
4949,有成精密,3.952443542939188,"5日衰退,10日衰退",-0.3816077737052317
4958,臻鼎-KY,59.68195135109125,"20日衰退,5日衰退,10日衰退,30日衰退",-0.6244217907283556
4960,誠美材,19.185033683607685,5日衰退,-0.4853367725825919
4966,譜瑞-KY,3.4750568240336213,"20日衰退,10日衰退,30日衰退",-1.0666737523092715
4967,十銓,7.091514927247166,5日衰退,-3.463668739373645
4989,榮科,4.108696090035393,"20日衰退,10日衰退,30日衰退",-2.149660833504557
4991,環宇-KY,-6.602972786027449,"20日衰退,5日衰退,10日衰退,30日衰退",-0.6610220335815384
5203,訊連,9.965345152128336,"20日衰退,5日衰退,10日衰退",-0.5126706981310782
5225,東科-KY,38.96120039389157,"5日衰退,10日衰退",-0.930386737224751
5236,凌陽創新,6.730293250264257,20日衰退,-0.7285137540243545
5243,乙盛-KY,54.112221392690984,5日衰退,-0.38232886237948804
5258,虹堡,2.8836658368919377,"5日衰退,10日衰退",-0.6966135160697027
5289,宜鼎,-0.2548822748693792,30日衰退,-3.860299679822223
5292,華懋,4.4257163829805615,30日衰退,-2.3448369560524016
5347,世界,-8.875598219388284,"20日衰退,10日衰退",-0.9820571758647354
5371,中光電,-5.639478336945741,"20日衰退,10日衰退,30日衰退",-1.4693244387177682
5386,青雲,0.845073592252606,"5日衰退,20日衰退",-0.8066377392971975
5388,中磊,13.68756122224937,"20日衰退,5日衰退,10日衰退",-7.100411623623751
5439,高技,-8.369566495176842,"30日衰退,20日衰退",-5.287775650495681
5471,松翰,10.725704241595556,"20日衰退,5日衰退,10日衰退,30日衰退",-0.9439727955210451
5483,中美晶,1.3672245761395851,"20日衰退,10日衰退",-0.9250654575916681
5522,遠雄,4.137080983568855,5日衰退,-0.4076212310493963
5536,聖暉*,-0.8093000270065674,"20日衰退,5日衰退,10日衰退",-0.5991670114013492
6005,群益證,10.056051625431845,"20日衰退,5日衰退,10日衰退,30日衰退",-0.790821914111639
6116,彩晶,4.595584153114678,10日衰退,-0.6356229943234935
6121,新普,-10.349048109661194,20日衰退,-0.6966488535397364
6138,茂達,-1.8806248388653477,"20日衰退,10日衰退",-0.9434471908032604
6139,亞翔,26.97444870423066,"20日衰退,5日衰退,10日衰退,30日衰退",-0.7577164234460803
6141,柏承,4.291352222623276,20日衰退,-1.7529966285708216
6147,頎邦,-6.04679716405651,"20日衰退,10日衰退,30日衰退",-0.9436321472029334
6153,嘉聯益,9.11654691228454,"30日衰退,20日衰退",-0.9954311629165673
6155,鈞寶,8.287870426865913,"20日衰退,5日衰退,10日衰退",-2.0745312593653438
6164,華興,6.27037125,"30日衰退,20日衰退",-1.6589124999999996
6165,浪凡,10.620625987113002,"30日衰退,20日衰退",-7.741864214150048
6168,宏齊,3.297048800714959,30日衰退,-2.239155819986237
6177,達麗,4.893557741860731,"5日衰退,10日衰退",-0.8417695957035676
