排名,代號,名稱,成交,漲跌 價,漲跌 幅,法人 買賣 日期,當日 賣出 佔 成交,2日 賣出 佔 成交,3日 賣出 佔 成交,5日 賣出 佔 成交,10日 賣出 佔 成交,1個月 賣出 佔 成交,3個月 賣出 佔 成交,半年 賣出 佔 成交,1年 賣出 佔 成交,3年 賣出 佔 成交,10年 賣出 佔 成交,今年 賣出 佔 成交
38,3231,緯創,184.5,4.5,2.5,09/24,4.45,7.97,8.01,7.64,4.71,1.82,2.05,1.56,2.1,2.66,2.32,1.7
39,2885,元大金,69.2,-0.4,-0.57,09/24,15.2,6.84,5.16,7.62,8.43,5.29,6.31,10.8,12.8,7.5,2.8,11.2
40,8069,元太,146.0,2.0,1.39,09/24,0.11,0.05,0.11,7.54,4.83,2.36,1.26,1.75,1.09,0.41,0.07,1.41
41,1736,喬山,127.5,1.5,1.19,09/24,0.0,0.0,0.0,7.39,9.14,11.8,3.37,2.15,1.97,0.99,1.21,1.57
42,2395,研華,722.0,21.0,3.0,09/24,8.36,13.5,11.9,7.11,3.68,3.25,1.63,1.74,1.66,1.74,1.57,1.34
43,2441,超豐,124.0,-1.0,-0.8,09/24,16.8,14.3,11.6,6.84,4.33,4.12,1.73,3.06,2.21,2.36,2.98,2.56
44,5434,崇越,542.0,0.0,0.0,09/24,0.0,0.54,0.95,6.8,7.17,4.39,4.04,3.75,5.47,4.79,2.78,4.24
45,2881,富邦金,150.0,-3.0,-1.96,09/24,4.44,2.58,5.48,6.73,4.42,2.16,5.54,12.6,11.2,6.07,2.87,12.5
46,3711,日月光投控,699.0,6.0,0.87,09/24,20.1,18.2,9.78,6.32,6.67,5.86,5.13,5.81,5.77,6.13,,4.86
47,6510,精測,3310.0,-165.0,-4.75,09/24,7.14,11.1,8.28,5.73,10.8,6.86,8.81,8.94,7.83,6.11,3.93,8.82
48,9917,中保科,106.0,-0.5,-0.47,09/24,1.03,0.31,0.15,5.33,10.8,4.81,1.29,1.99,0.96,0.27,0.15,1.91
49,3526,凡甲,270.0,1.0,0.37,09/24,0.68,0.24,10.7,5.32,7.51,3.43,1.24,1.7,1.64,2.19,1.92,1.75
50,5522,遠雄,60.7,-0.2,-0.33,09/24,0.0,2.71,1.97,5.22,9.53,6.15,6.25,4.61,3.96,7.44,5.51,5.41
