排名,代號,名稱,成交,漲跌 價,漲跌 幅,法人 買賣 日期,當日 賣出 佔 成交,2日 賣出 佔 成交,3日 賣出 佔 成交,5日 賣出 佔 成交,10日 賣出 佔 成交,1個月 賣出 佔 成交,3個月 賣出 佔 成交,半年 賣出 佔 成交,1年 賣出 佔 成交,3年 賣出 佔 成交,10年 賣出 佔 成交,今年 賣出 佔 成交
245,3543,州巧,45.05,0.75,1.69,09/21,32.4,37.7,52.7,50.7,44.6,31.4,33.1,35.5,27.4,21.9,,30.2
246,1760,寶齡富錦,54.0,0.4,0.75,09/21,29.4,60.9,52.7,53.2,42.6,41.8,32.2,29.0,29.7,25.8,,29.4
247,5011,久陽,18.1,0.05,0.28,09/21,21.2,56.7,52.6,53.6,44.1,41.2,28.6,22.7,19.6,16.3,15.0,20.2
248,5203,訊連,58.6,0.6,1.03,09/21,27.6,53.4,52.6,51.3,42.2,36.3,38.7,37.2,40.4,30.5,25.6,40.2
249,2064,晉椿,11.75,0.0,0.0,09/21,0.0,28.1,52.5,50.7,50.8,50.3,48.8,37.3,35.8,22.9,8.03,33.7
250,3023,信邦,320.5,-7.0,-2.14,09/21,58.8,42.5,52.5,61.2,56.0,44.9,58.0,50.3,51.0,55.5,44.6,48.4
251,2013,中鋼構,41.35,0.25,0.61,09/21,0.0,56.2,52.5,56.0,39.7,35.2,36.6,34.7,32.4,24.0,13.2,34.0
252,2388,威盛,69.7,-0.2,-0.29,09/21,50.2,47.7,52.3,47.0,43.9,38.6,34.0,30.9,30.5,26.5,18.6,30.8
253,4536,拓凱,166.0,0.0,0.0,09/21,56.6,54.0,52.3,50.7,48.4,56.0,37.2,32.8,43.1,34.3,26.2,39.1
254,2753,八方雲集,179.5,-0.5,-0.28,09/21,43.1,53.0,52.1,51.1,44.0,42.5,35.6,35.4,38.8,32.4,,38.6
255,4162,智擎,55.8,0.2,0.36,09/21,36.2,70.6,52.1,49.9,40.5,38.6,29.0,27.5,28.6,23.7,17.3,28.7
256,2457,飛宏,22.2,0.15,0.68,09/21,35.3,57.2,52.1,45.4,41.3,51.5,42.5,32.5,26.4,27.1,17.3,27.2
257,8487,愛爾達-創,71.5,0.9,1.27,09/21,27.6,21.1,52.1,42.2,28.2,19.7,17.3,11.6,7.97,,,10.0
258,2458,義隆,130.5,-1.5,-1.14,09/21,48.0,45.2,52.0,51.2,47.1,46.7,40.3,37.6,37.5,41.1,26.4,36.4
259,6465,威潤,43.15,0.65,1.53,09/21,15.7,58.0,52.0,41.9,34.4,32.3,28.6,23.9,17.9,13.6,8.32,20.8
260,2889,國票金,16.9,-0.25,-1.46,09/21,34.6,57.0,52.0,46.6,36.2,28.9,30.0,33.1,36.4,33.7,29.1,34.8
261,2636,台驊控股,70.5,-0.7,-0.98,09/21,35.4,49.2,52.0,52.4,37.9,40.3,35.4,32.8,33.2,33.7,20.0,32.0
262,8027,鈦昇,179.5,-0.5,-0.28,09/21,36.8,59.7,51.9,44.2,40.2,35.5,27.2,23.5,15.0,7.26,3.98,19.5
263,6151,晉倫,35.2,-0.25,-0.71,09/21,31.0,55.7,51.8,42.1,42.7,33.1,32.7,26.1,25.1,20.7,16.2,25.3
264,6585,鼎基,106.0,0.5,0.47,09/21,25.3,64.7,51.8,45.4,44.2,40.7,38.0,30.0,33.6,29.2,,33.3
265,2892,第一金,39.75,-0.05,-0.13,09/21,42.6,50.7,51.6,53.7,44.6,42.2,52.2,54.8,53.6,52.9,47.1,55.5
266,5523,豐謙,30.35,0.0,0.0,09/21,0.0,60.5,51.6,31.0,16.6,6.37,4.51,4.72,3.63,6.91,4.67,5.52
267,2049,上銀,334.0,-0.5,-0.15,09/21,43.4,60.7,51.5,45.9,52.0,45.7,39.2,37.5,37.4,34.7,33.3,36.3
